Group,week,Embolse,conteo,Group_Count
1,1,106.75,93,G1_C93
1,2,100.25,93,G1_C93
1,3,100,93,G1_C93
1,4,94.5,93,G1_C93
1,5,89.25,93,G1_C93
1,6,81.75,93,G1_C93
1,7,77.25,93,G1_C93
1,8,70,93,G1_C93
1,9,70.25,93,G1_C93
1,10,70.25,93,G1_C93
1,11,66.25,93,G1_C93
1,12,66.75,93,G1_C93
1,13,63.25,93,G1_C93
1,14,64.5,93,G1_C93
1,15,69.25,93,G1_C93
1,16,73,93,G1_C93
1,17,84.75,93,G1_C93
1,18,88.75,93,G1_C93
1,19,96.75,93,G1_C93
1,20,100.25,93,G1_C93
1,21,99.5,93,G1_C93
1,22,112.5,93,G1_C93
1,23,118.75,93,G1_C93
1,24,130.75,93,G1_C93
1,25,137.25,93,G1_C93
1,26,139.25,93,G1_C93
1,27,134.25,93,G1_C93
1,28,134,93,G1_C93
1,29,132,93,G1_C93
1,30,123,93,G1_C93
1,31,118.5,93,G1_C93
1,32,108.25,93,G1_C93
1,33,100,93,G1_C93
1,34,90.5,93,G1_C93
1,35,89,93,G1_C93
1,36,84.5,93,G1_C93
1,37,84.5,93,G1_C93
1,38,85,93,G1_C93
1,39,87.25,93,G1_C93
1,40,87.5,93,G1_C93
1,41,86.25,93,G1_C93
1,42,86.5,93,G1_C93
1,43,81.5,93,G1_C93
1,44,83.25,93,G1_C93
1,45,87.5,93,G1_C93
1,46,94.75,93,G1_C93
1,47,99,93,G1_C93
1,48,112.25,93,G1_C93
1,49,118,93,G1_C93
2,1,224.25,821,G2_C821
2,2,210.25,821,G2_C821
2,3,195.25,821,G2_C821
2,4,188,821,G2_C821
2,5,181.25,821,G2_C821
2,6,187.5,821,G2_C821
2,7,181.5,821,G2_C821
2,8,180.75,821,G2_C821
2,9,171.75,821,G2_C821
2,10,160.25,821,G2_C821
2,11,170.5,821,G2_C821
2,12,169.75,821,G2_C821
2,13,183,821,G2_C821
2,14,192.75,821,G2_C821
2,15,199.75,821,G2_C821
2,16,215.25,821,G2_C821
2,17,221.75,821,G2_C821
2,18,223.25,821,G2_C821
2,19,241,821,G2_C821
2,20,236.75,821,G2_C821
2,21,240,821,G2_C821
2,22,252.25,821,G2_C821
2,23,248.75,821,G2_C821
2,24,248.25,821,G2_C821
2,25,252.25,821,G2_C821
2,26,233.25,821,G2_C821
2,27,209,821,G2_C821
2,28,209,821,G2_C821
2,29,196.25,821,G2_C821
2,30,189.25,821,G2_C821
